date,Symbol,rv5
2011-03-07 00:00:00+00:00,.AORD,1.64E-05
2011-03-08 00:00:00+00:00,.AORD,2.15E-05
2011-03-09 00:00:00+00:00,.AORD,1.90E-05
2011-03-10 00:00:00+00:00,.AORD,4.80E-05
2011-03-11 00:00:00+00:00,.AORD,6.90E-05
2011-03-14 00:00:00+00:00,.AORD,0.000124001
2011-03-15 00:00:00+00:00,.AORD,0.000184088
2011-03-16 00:00:00+00:00,.AORD,8.23E-05
2011-03-17 00:00:00+00:00,.AORD,0.000126726
2011-03-18 00:00:00+00:00,.AORD,4.97E-05
2011-03-21 00:00:00+00:00,.AORD,2.66E-05
2011-03-22 00:00:00+00:00,.AORD,4.84E-05
2011-03-23 00:00:00+00:00,.AORD,3.11E-05
2011-03-24 00:00:00+00:00,.AORD,2.25E-05
2011-03-25 00:00:00+00:00,.AORD,3.73E-05
2011-03-28 00:00:00+01:00,.AORD,7.86E-06
2011-03-29 00:00:00+01:00,.AORD,1.46E-05
2011-03-30 00:00:00+01:00,.AORD,2.03E-05
2011-03-31 00:00:00+01:00,.AORD,1.92E-05
2011-04-01 00:00:00+01:00,.AORD,1.52E-05
2011-04-04 00:00:00+01:00,.AORD,2.15E-05
2011-04-05 00:00:00+01:00,.AORD,6.77E-06
2011-04-06 00:00:00+01:00,.AORD,1.38E-05
2011-04-07 00:00:00+01:00,.AORD,1.11E-05
2011-04-08 00:00:00+01:00,.AORD,1.41E-05
2011-04-11 00:00:00+01:00,.AORD,1.90E-05
2011-04-12 00:00:00+01:00,.AORD,3.72E-05
2011-04-13 00:00:00+01:00,.AORD,3.48E-05
2011-04-14 00:00:00+01:00,.AORD,2.81E-05
2011-04-15 00:00:00+01:00,.AORD,2.76E-05
2011-04-18 00:00:00+01:00,.AORD,2.31E-05
2011-04-19 00:00:00+01:00,.AORD,5.46E-05
2011-04-20 00:00:00+01:00,.AORD,2.00E-05
2011-04-21 00:00:00+01:00,.AORD,2.71E-05
2011-04-27 00:00:00+01:00,.AORD,2.55E-05
2011-04-28 00:00:00+01:00,.AORD,4.32E-05
2011-04-29 00:00:00+01:00,.AORD,4.93E-05
2011-05-02 00:00:00+01:00,.AORD,6.76E-05
2011-05-03 00:00:00+01:00,.AORD,5.19E-05
2011-05-04 00:00:00+01:00,.AORD,4.41E-05
2011-05-05 00:00:00+01:00,.AORD,2.24E-05
2011-05-06 00:00:00+01:00,.AORD,4.79E-05
2011-05-09 00:00:00+01:00,.AORD,4.91E-05
2011-05-10 00:00:00+01:00,.AORD,3.91E-05
2011-05-11 00:00:00+01:00,.AORD,5.19E-05
2011-05-12 00:00:00+01:00,.AORD,5.63E-05
2011-05-13 00:00:00+01:00,.AORD,3.76E-05
2011-05-16 00:00:00+01:00,.AORD,7.84E-05
2011-05-17 00:00:00+01:00,.AORD,1.64E-05
2011-05-18 00:00:00+01:00,.AORD,1.73E-05
2011-05-19 00:00:00+01:00,.AORD,2.35E-05
2011-05-20 00:00:00+01:00,.AORD,8.71E-06
2011-05-23 00:00:00+01:00,.AORD,4.62E-05
2011-05-24 00:00:00+01:00,.AORD,3.93E-05
2011-05-25 00:00:00+01:00,.AORD,3.75E-05
2011-05-26 00:00:00+01:00,.AORD,2.85E-05
2011-05-27 00:00:00+01:00,.AORD,1.71E-05
2011-05-30 00:00:00+01:00,.AORD,1.42E-05
2011-05-31 00:00:00+01:00,.AORD,1.43E-05
2011-06-01 00:00:00+01:00,.AORD,2.05E-05
2011-06-02 00:00:00+01:00,.AORD,0.000118194
2011-06-03 00:00:00+01:00,.AORD,2.34E-05
2011-06-06 00:00:00+01:00,.AORD,4.10E-05
2011-06-07 00:00:00+01:00,.AORD,3.54E-05
2011-06-08 00:00:00+01:00,.AORD,3.46E-05
2011-06-09 00:00:00+01:00,.AORD,2.89E-05
2011-06-10 00:00:00+01:00,.AORD,3.75E-05
2011-06-14 00:00:00+01:00,.AORD,5.32E-05
2011-06-15 00:00:00+01:00,.AORD,2.44E-05
2011-06-16 00:00:00+01:00,.AORD,4.34E-05
2011-06-17 00:00:00+01:00,.AORD,3.97E-05
2011-06-20 00:00:00+01:00,.AORD,4.89E-05
2011-06-21 00:00:00+01:00,.AORD,5.72E-05
2011-06-22 00:00:00+01:00,.AORD,4.89E-05
2011-06-23 00:00:00+01:00,.AORD,2.36E-05
2011-06-24 00:00:00+01:00,.AORD,2.27E-05
2011-06-27 00:00:00+01:00,.AORD,6.04E-05
2011-06-28 00:00:00+01:00,.AORD,2.82E-05
