date,Symbol,rv5
2011-03-09 00:00:00+00:00,.BVSP,5.50E-05
2011-03-10 00:00:00+00:00,.BVSP,0.000133551
2011-03-11 00:00:00+00:00,.BVSP,0.000175006
2011-03-14 00:00:00+00:00,.BVSP,6.88E-05
2011-03-15 00:00:00+00:00,.BVSP,7.64E-05
2011-03-16 00:00:00+00:00,.BVSP,0.000118123
2011-03-17 00:00:00+00:00,.BVSP,6.82E-05
2011-03-18 00:00:00+00:00,.BVSP,4.09E-05
2011-03-21 00:00:00+00:00,.BVSP,3.86E-05
2011-03-22 00:00:00+00:00,.BVSP,4.30E-05
2011-03-23 00:00:00+00:00,.BVSP,2.85E-05
2011-03-24 00:00:00+00:00,.BVSP,3.46E-05
2011-03-25 00:00:00+00:00,.BVSP,3.34E-05
2011-03-28 00:00:00+01:00,.BVSP,3.46E-05
2011-03-29 00:00:00+01:00,.BVSP,4.79E-05
2011-03-30 00:00:00+01:00,.BVSP,2.68E-05
2011-03-31 00:00:00+01:00,.BVSP,1.40E-05
2011-04-01 00:00:00+01:00,.BVSP,1.90E-05
2011-04-04 00:00:00+01:00,.BVSP,2.57E-05
2011-04-05 00:00:00+01:00,.BVSP,2.28E-05
2011-04-06 00:00:00+01:00,.BVSP,2.50E-05
2011-04-07 00:00:00+01:00,.BVSP,5.29E-05
2011-04-08 00:00:00+01:00,.BVSP,2.73E-05
2011-04-11 00:00:00+01:00,.BVSP,5.48E-05
2011-04-12 00:00:00+01:00,.BVSP,6.52E-05
2011-04-13 00:00:00+01:00,.BVSP,6.13E-05
2011-04-14 00:00:00+01:00,.BVSP,4.62E-05
2011-04-15 00:00:00+01:00,.BVSP,6.56E-05
2011-04-18 00:00:00+01:00,.BVSP,5.38E-05
2011-04-19 00:00:00+01:00,.BVSP,3.20E-05
2011-04-20 00:00:00+01:00,.BVSP,2.35E-05
2011-04-25 00:00:00+01:00,.BVSP,2.50E-05
2011-04-26 00:00:00+01:00,.BVSP,4.11E-05
2011-04-27 00:00:00+01:00,.BVSP,4.84E-05
2011-04-28 00:00:00+01:00,.BVSP,6.49E-05
2011-04-29 00:00:00+01:00,.BVSP,2.83E-05
2011-05-02 00:00:00+01:00,.BVSP,4.39E-05
2011-05-03 00:00:00+01:00,.BVSP,6.18E-05
2011-05-04 00:00:00+01:00,.BVSP,9.29E-05
2011-05-05 00:00:00+01:00,.BVSP,9.34E-05
2011-05-06 00:00:00+01:00,.BVSP,7.55E-05
2011-05-09 00:00:00+01:00,.BVSP,5.64E-05
2011-05-10 00:00:00+01:00,.BVSP,2.40E-05
2011-05-11 00:00:00+01:00,.BVSP,4.23E-05
2011-05-12 00:00:00+01:00,.BVSP,5.82E-05
2011-05-13 00:00:00+01:00,.BVSP,6.81E-05
2011-05-16 00:00:00+01:00,.BVSP,7.69E-05
2011-05-17 00:00:00+01:00,.BVSP,0.000119647
2011-05-18 00:00:00+01:00,.BVSP,8.44E-05
2011-05-19 00:00:00+01:00,.BVSP,9.96E-05
2011-05-20 00:00:00+01:00,.BVSP,6.76E-05
2011-05-23 00:00:00+01:00,.BVSP,6.21E-05
2011-05-24 00:00:00+01:00,.BVSP,2.67E-05
2011-05-25 00:00:00+01:00,.BVSP,3.21E-05
2011-05-26 00:00:00+01:00,.BVSP,2.91E-05
2011-05-27 00:00:00+01:00,.BVSP,4.37E-05
2011-05-30 00:00:00+01:00,.BVSP,1.78E-05
2011-05-31 00:00:00+01:00,.BVSP,4.71E-05
2011-06-01 00:00:00+01:00,.BVSP,7.45E-05
2011-06-02 00:00:00+01:00,.BVSP,5.54E-05
2011-06-03 00:00:00+01:00,.BVSP,8.97E-05
2011-06-06 00:00:00+01:00,.BVSP,7.00E-05
2011-06-07 00:00:00+01:00,.BVSP,3.32E-05
2011-06-08 00:00:00+01:00,.BVSP,6.50E-05
2011-06-09 00:00:00+01:00,.BVSP,3.89E-05
2011-06-10 00:00:00+01:00,.BVSP,3.47E-05
2011-06-13 00:00:00+01:00,.BVSP,3.78E-05
2011-06-14 00:00:00+01:00,.BVSP,2.67E-05
2011-06-15 00:00:00+01:00,.BVSP,5.51E-05
