date,Symbol,rv5
2011-03-07 00:00:00+00:00,.FTSE,6.26E-05
2011-03-08 00:00:00+00:00,.FTSE,8.41E-05
2011-03-09 00:00:00+00:00,.FTSE,4.83E-05
2011-03-10 00:00:00+00:00,.FTSE,0.00011395
2011-03-11 00:00:00+00:00,.FTSE,8.12E-05
2011-03-14 00:00:00+00:00,.FTSE,6.74E-05
2011-03-15 00:00:00+00:00,.FTSE,0.000439326
2011-03-16 00:00:00+00:00,.FTSE,0.000178749
2011-03-17 00:00:00+00:00,.FTSE,0.000148632
2011-03-18 00:00:00+00:00,.FTSE,9.32E-05
2011-03-21 00:00:00+00:00,.FTSE,0.000107752
2011-03-22 00:00:00+00:00,.FTSE,3.86E-05
2011-03-23 00:00:00+00:00,.FTSE,0.000116576
2011-03-24 00:00:00+00:00,.FTSE,4.63E-05
2011-03-25 00:00:00+00:00,.FTSE,4.39E-05
2011-03-28 00:00:00+01:00,.FTSE,2.22E-05
2011-03-29 00:00:00+01:00,.FTSE,3.25E-05
2011-03-30 00:00:00+01:00,.FTSE,4.63E-05
2011-03-31 00:00:00+01:00,.FTSE,4.82E-05
2011-04-01 00:00:00+01:00,.FTSE,7.45E-05
2011-04-04 00:00:00+01:00,.FTSE,2.49E-05
2011-04-05 00:00:00+01:00,.FTSE,2.22E-05
2011-04-06 00:00:00+01:00,.FTSE,2.81E-05
2011-04-07 00:00:00+01:00,.FTSE,4.02E-05
2011-04-08 00:00:00+01:00,.FTSE,5.92E-05
2011-04-11 00:00:00+01:00,.FTSE,2.43E-05
2011-04-12 00:00:00+01:00,.FTSE,7.20E-05
2011-04-13 00:00:00+01:00,.FTSE,4.72E-05
2011-04-14 00:00:00+01:00,.FTSE,5.49E-05
2011-04-15 00:00:00+01:00,.FTSE,4.29E-05
2011-04-18 00:00:00+01:00,.FTSE,8.79E-05
2011-04-19 00:00:00+01:00,.FTSE,6.19E-05
2011-04-20 00:00:00+01:00,.FTSE,0.000182801
2011-04-21 00:00:00+01:00,.FTSE,3.29E-05
2011-04-26 00:00:00+01:00,.FTSE,2.45E-05
2011-04-27 00:00:00+01:00,.FTSE,2.79E-05
2011-04-28 00:00:00+01:00,.FTSE,3.27E-05
2011-05-03 00:00:00+01:00,.FTSE,5.47E-05
2011-05-04 00:00:00+01:00,.FTSE,0.00013777
2011-05-05 00:00:00+01:00,.FTSE,6.41E-05
2011-05-06 00:00:00+01:00,.FTSE,9.42E-05
2011-05-09 00:00:00+01:00,.FTSE,7.28E-05
2011-05-10 00:00:00+01:00,.FTSE,5.04E-05
2011-05-11 00:00:00+01:00,.FTSE,4.57E-05
2011-05-12 00:00:00+01:00,.FTSE,0.00015811
2011-05-13 00:00:00+01:00,.FTSE,7.74E-05
2011-05-16 00:00:00+01:00,.FTSE,6.63E-05
2011-05-17 00:00:00+01:00,.FTSE,8.37E-05
2011-05-18 00:00:00+01:00,.FTSE,0.000132676
2011-05-19 00:00:00+01:00,.FTSE,0.00012658
2011-05-20 00:00:00+01:00,.FTSE,5.12E-05
2011-05-23 00:00:00+01:00,.FTSE,0.000228368
2011-05-24 00:00:00+01:00,.FTSE,3.68E-05
2011-05-25 00:00:00+01:00,.FTSE,0.000111213
2011-05-26 00:00:00+01:00,.FTSE,6.29E-05
2011-05-27 00:00:00+01:00,.FTSE,0.00012558
2011-05-31 00:00:00+01:00,.FTSE,7.83E-05
2011-06-01 00:00:00+01:00,.FTSE,3.89E-05
2011-06-02 00:00:00+01:00,.FTSE,0.000156547
2011-06-03 00:00:00+01:00,.FTSE,6.00E-05
2011-06-06 00:00:00+01:00,.FTSE,5.41E-05
2011-06-07 00:00:00+01:00,.FTSE,3.06E-05
2011-06-08 00:00:00+01:00,.FTSE,5.58E-05
2011-06-09 00:00:00+01:00,.FTSE,4.51E-05
2011-06-10 00:00:00+01:00,.FTSE,6.35E-05
2011-06-13 00:00:00+01:00,.FTSE,2.82E-05
2011-06-14 00:00:00+01:00,.FTSE,6.30E-05
2011-06-15 00:00:00+01:00,.FTSE,3.17E-05
2011-06-16 00:00:00+01:00,.FTSE,0.000157241
2011-06-17 00:00:00+01:00,.FTSE,0.000114525
