date,Symbol,rv5
2011-03-07 00:00:00+00:00,.GDAXI,0.000138562
2011-03-08 00:00:00+00:00,.GDAXI,0.000169343
2011-03-09 00:00:00+00:00,.GDAXI,0.000114296
2011-03-10 00:00:00+00:00,.GDAXI,8.46E-05
2011-03-11 00:00:00+00:00,.GDAXI,7.57E-05
2011-03-14 00:00:00+00:00,.GDAXI,0.000108497
2011-03-15 00:00:00+00:00,.GDAXI,0.000363213
2011-03-16 00:00:00+00:00,.GDAXI,0.000506084
2011-03-17 00:00:00+00:00,.GDAXI,0.00023319
2011-03-18 00:00:00+00:00,.GDAXI,0.000190965
2011-03-21 00:00:00+00:00,.GDAXI,8.95E-05
2011-03-22 00:00:00+00:00,.GDAXI,5.82E-05
2011-03-23 00:00:00+00:00,.GDAXI,0.000134388
2011-03-24 00:00:00+00:00,.GDAXI,9.20E-05
2011-03-25 00:00:00+00:00,.GDAXI,3.38E-05
2011-03-28 00:00:00+01:00,.GDAXI,5.90E-05
2011-03-29 00:00:00+01:00,.GDAXI,9.84E-05
2011-03-30 00:00:00+01:00,.GDAXI,3.28E-05
2011-03-31 00:00:00+01:00,.GDAXI,2.65E-05
2011-04-01 00:00:00+01:00,.GDAXI,4.84E-05
2011-04-04 00:00:00+01:00,.GDAXI,1.60E-05
2011-04-05 00:00:00+01:00,.GDAXI,4.73E-05
2011-04-06 00:00:00+01:00,.GDAXI,4.84E-05
2011-04-07 00:00:00+01:00,.GDAXI,6.21E-05
2011-04-08 00:00:00+01:00,.GDAXI,2.52E-05
2011-04-11 00:00:00+01:00,.GDAXI,4.34E-05
2011-04-12 00:00:00+01:00,.GDAXI,5.24E-05
2011-04-13 00:00:00+01:00,.GDAXI,4.03E-05
2011-04-14 00:00:00+01:00,.GDAXI,8.68E-05
2011-04-15 00:00:00+01:00,.GDAXI,4.62E-05
2011-04-18 00:00:00+01:00,.GDAXI,0.000205849
2011-04-19 00:00:00+01:00,.GDAXI,3.95E-05
2011-04-20 00:00:00+01:00,.GDAXI,6.13E-05
2011-04-21 00:00:00+01:00,.GDAXI,2.80E-05
2011-04-26 00:00:00+01:00,.GDAXI,2.35E-05
2011-04-27 00:00:00+01:00,.GDAXI,2.34E-05
2011-04-28 00:00:00+01:00,.GDAXI,2.22E-05
2011-04-29 00:00:00+01:00,.GDAXI,1.38E-05
2011-05-02 00:00:00+01:00,.GDAXI,3.05E-05
2011-05-03 00:00:00+01:00,.GDAXI,3.40E-05
2011-05-04 00:00:00+01:00,.GDAXI,9.79E-05
2011-05-05 00:00:00+01:00,.GDAXI,0.000113394
2011-05-06 00:00:00+01:00,.GDAXI,0.000114251
2011-05-09 00:00:00+01:00,.GDAXI,9.12E-05
2011-05-10 00:00:00+01:00,.GDAXI,7.90E-05
2011-05-11 00:00:00+01:00,.GDAXI,5.32E-05
2011-05-12 00:00:00+01:00,.GDAXI,8.15E-05
2011-05-13 00:00:00+01:00,.GDAXI,9.53E-05
2011-05-16 00:00:00+01:00,.GDAXI,8.97E-05
2011-05-17 00:00:00+01:00,.GDAXI,0.000162138
2011-05-18 00:00:00+01:00,.GDAXI,5.58E-05
2011-05-19 00:00:00+01:00,.GDAXI,8.09E-05
2011-05-20 00:00:00+01:00,.GDAXI,8.59E-05
2011-05-23 00:00:00+01:00,.GDAXI,7.43E-05
2011-05-24 00:00:00+01:00,.GDAXI,5.84E-05
2011-05-25 00:00:00+01:00,.GDAXI,5.79E-05
2011-05-26 00:00:00+01:00,.GDAXI,0.000117842
2011-05-27 00:00:00+01:00,.GDAXI,8.37E-05
2011-05-30 00:00:00+01:00,.GDAXI,4.38E-05
2011-05-31 00:00:00+01:00,.GDAXI,4.69E-05
2011-06-01 00:00:00+01:00,.GDAXI,6.61E-05
2011-06-02 00:00:00+01:00,.GDAXI,5.74E-05
2011-06-03 00:00:00+01:00,.GDAXI,9.51E-05
2011-06-06 00:00:00+01:00,.GDAXI,7.26E-05
2011-06-07 00:00:00+01:00,.GDAXI,5.61E-05
2011-06-08 00:00:00+01:00,.GDAXI,7.83E-05
2011-06-09 00:00:00+01:00,.GDAXI,0.000119956
2011-06-10 00:00:00+01:00,.GDAXI,0.00012213
2011-06-13 00:00:00+01:00,.GDAXI,5.47E-05
