date,Symbol,rv5
2011-03-07 00:00:00+00:00,.HSI,5.42E-05
2011-03-08 00:00:00+00:00,.HSI,0.000102271
2011-03-09 00:00:00+00:00,.HSI,4.59E-05
2011-03-10 00:00:00+00:00,.HSI,4.82E-05
2011-03-11 00:00:00+00:00,.HSI,0.000109075
2011-03-14 00:00:00+00:00,.HSI,6.63E-05
2011-03-15 00:00:00+00:00,.HSI,0.000432174
2011-03-16 00:00:00+00:00,.HSI,0.000100667
2011-03-17 00:00:00+00:00,.HSI,7.87E-05
2011-03-18 00:00:00+00:00,.HSI,3.92E-05
2011-03-21 00:00:00+00:00,.HSI,6.90E-05
2011-03-22 00:00:00+00:00,.HSI,4.82E-05
2011-03-23 00:00:00+00:00,.HSI,3.34E-05
2011-03-24 00:00:00+00:00,.HSI,2.47E-05
2011-03-25 00:00:00+00:00,.HSI,2.59E-05
2011-03-28 00:00:00+01:00,.HSI,5.24E-05
2011-03-29 00:00:00+01:00,.HSI,3.26E-05
2011-03-30 00:00:00+01:00,.HSI,6.21E-05
2011-03-31 00:00:00+01:00,.HSI,2.57E-05
2011-04-01 00:00:00+01:00,.HSI,5.14E-05
2011-04-04 00:00:00+01:00,.HSI,4.96E-05
2011-04-06 00:00:00+01:00,.HSI,5.08E-05
2011-04-07 00:00:00+01:00,.HSI,3.92E-05
2011-04-08 00:00:00+01:00,.HSI,3.29E-05
2011-04-11 00:00:00+01:00,.HSI,3.41E-05
2011-04-12 00:00:00+01:00,.HSI,3.14E-05
2011-04-13 00:00:00+01:00,.HSI,4.87E-05
2011-04-14 00:00:00+01:00,.HSI,3.10E-05
2011-04-15 00:00:00+01:00,.HSI,9.27E-05
2011-04-18 00:00:00+01:00,.HSI,8.42E-05
2011-04-19 00:00:00+01:00,.HSI,2.95E-05
2011-04-20 00:00:00+01:00,.HSI,2.41E-05
2011-04-21 00:00:00+01:00,.HSI,2.60E-05
2011-04-26 00:00:00+01:00,.HSI,4.62E-05
2011-04-27 00:00:00+01:00,.HSI,3.92E-05
2011-04-28 00:00:00+01:00,.HSI,6.61E-05
2011-04-29 00:00:00+01:00,.HSI,5.11E-05
2011-05-03 00:00:00+01:00,.HSI,0.000110349
2011-05-04 00:00:00+01:00,.HSI,5.20E-05
2011-05-05 00:00:00+01:00,.HSI,5.50E-05
2011-05-06 00:00:00+01:00,.HSI,2.89E-05
2011-05-09 00:00:00+01:00,.HSI,2.55E-05
2011-05-11 00:00:00+01:00,.HSI,8.20E-05
2011-05-12 00:00:00+01:00,.HSI,4.42E-05
2011-05-13 00:00:00+01:00,.HSI,6.10E-05
2011-05-16 00:00:00+01:00,.HSI,2.76E-05
2011-05-17 00:00:00+01:00,.HSI,3.98E-05
2011-05-18 00:00:00+01:00,.HSI,2.01E-05
2011-05-19 00:00:00+01:00,.HSI,7.27E-05
2011-05-20 00:00:00+01:00,.HSI,2.14E-05
2011-05-23 00:00:00+01:00,.HSI,2.85E-05
2011-05-24 00:00:00+01:00,.HSI,2.06E-05
2011-05-25 00:00:00+01:00,.HSI,3.88E-05
2011-05-26 00:00:00+01:00,.HSI,3.59E-05
2011-05-27 00:00:00+01:00,.HSI,5.84E-05
2011-05-30 00:00:00+01:00,.HSI,2.09E-05
2011-05-31 00:00:00+01:00,.HSI,3.90E-05
2011-06-01 00:00:00+01:00,.HSI,4.42E-05
2011-06-02 00:00:00+01:00,.HSI,3.48E-05
2011-06-03 00:00:00+01:00,.HSI,4.34E-05
2011-06-07 00:00:00+01:00,.HSI,3.41E-05
2011-06-08 00:00:00+01:00,.HSI,3.13E-05
2011-06-09 00:00:00+01:00,.HSI,5.20E-05
2011-06-10 00:00:00+01:00,.HSI,8.57E-05
