date,Symbol,rv5
2011-03-07 00:00:00+00:00,.N225,6.48E-05
2011-03-08 00:00:00+00:00,.N225,3.93E-05
2011-03-09 00:00:00+00:00,.N225,3.49E-05
2011-03-10 00:00:00+00:00,.N225,5.52E-05
2011-03-11 00:00:00+00:00,.N225,9.59E-05
2011-03-14 00:00:00+00:00,.N225,0.001034693
2011-03-15 00:00:00+00:00,.N225,0.003010894
2011-03-16 00:00:00+00:00,.N225,0.001053223
2011-03-17 00:00:00+00:00,.N225,0.000893976
2011-03-18 00:00:00+00:00,.N225,0.000560426
2011-03-22 00:00:00+00:00,.N225,0.000302314
2011-03-23 00:00:00+00:00,.N225,0.000186382
2011-03-24 00:00:00+00:00,.N225,9.25E-05
2011-03-25 00:00:00+00:00,.N225,8.05E-05
2011-03-28 00:00:00+01:00,.N225,9.69E-05
2011-03-29 00:00:00+01:00,.N225,9.26E-05
2011-03-30 00:00:00+01:00,.N225,7.74E-05
2011-03-31 00:00:00+01:00,.N225,9.70E-05
2011-04-01 00:00:00+01:00,.N225,0.000135904
2011-04-04 00:00:00+01:00,.N225,4.63E-05
2011-04-05 00:00:00+01:00,.N225,8.94E-05
2011-04-06 00:00:00+01:00,.N225,8.30E-05
2011-04-07 00:00:00+01:00,.N225,5.79E-05
2011-04-08 00:00:00+01:00,.N225,0.000119469
2011-04-11 00:00:00+01:00,.N225,5.56E-05
2011-04-12 00:00:00+01:00,.N225,0.000107947
2011-04-13 00:00:00+01:00,.N225,0.000105746
2011-04-14 00:00:00+01:00,.N225,6.83E-05
2011-04-15 00:00:00+01:00,.N225,6.62E-05
2011-04-18 00:00:00+01:00,.N225,3.95E-05
2011-04-19 00:00:00+01:00,.N225,4.30E-05
2011-04-20 00:00:00+01:00,.N225,3.11E-05
2011-04-21 00:00:00+01:00,.N225,3.51E-05
2011-04-22 00:00:00+01:00,.N225,7.93E-05
2011-04-25 00:00:00+01:00,.N225,4.45E-05
2011-04-26 00:00:00+01:00,.N225,4.02E-05
2011-04-27 00:00:00+01:00,.N225,5.98E-05
2011-04-28 00:00:00+01:00,.N225,7.41E-05
2011-05-02 00:00:00+01:00,.N225,6.74E-05
2011-05-06 00:00:00+01:00,.N225,4.10E-05
2011-05-09 00:00:00+01:00,.N225,4.80E-05
2011-05-10 00:00:00+01:00,.N225,5.17E-05
2011-05-11 00:00:00+01:00,.N225,4.09E-05
2011-05-12 00:00:00+01:00,.N225,5.22E-05
2011-05-13 00:00:00+01:00,.N225,0.000145744
2011-05-16 00:00:00+01:00,.N225,3.90E-05
2011-05-17 00:00:00+01:00,.N225,5.59E-05
2011-05-18 00:00:00+01:00,.N225,5.09E-05
2011-05-19 00:00:00+01:00,.N225,4.72E-05
2011-05-20 00:00:00+01:00,.N225,4.39E-05
2011-05-23 00:00:00+01:00,.N225,7.73E-05
2011-05-24 00:00:00+01:00,.N225,5.65E-05
2011-05-25 00:00:00+01:00,.N225,2.91E-05
2011-05-26 00:00:00+01:00,.N225,4.72E-05
2011-05-27 00:00:00+01:00,.N225,3.95E-05
2011-05-30 00:00:00+01:00,.N225,5.37E-05
2011-05-31 00:00:00+01:00,.N225,5.95E-05
2011-06-01 00:00:00+01:00,.N225,4.46E-05
2011-06-02 00:00:00+01:00,.N225,3.72E-05
2011-06-03 00:00:00+01:00,.N225,4.00E-05
2011-06-06 00:00:00+01:00,.N225,5.75E-05
2011-06-07 00:00:00+01:00,.N225,3.46E-05
2011-06-08 00:00:00+01:00,.N225,3.14E-05
2011-06-09 00:00:00+01:00,.N225,3.74E-05
2011-06-10 00:00:00+01:00,.N225,7.80E-05
2011-06-13 00:00:00+01:00,.N225,2.98E-05
2011-06-14 00:00:00+01:00,.N225,7.76E-05
2011-06-15 00:00:00+01:00,.N225,3.50E-05
2011-06-16 00:00:00+01:00,.N225,3.38E-05
2011-06-17 00:00:00+01:00,.N225,3.77E-05
2011-06-20 00:00:00+01:00,.N225,4.17E-05
2011-06-21 00:00:00+01:00,.N225,3.66E-05
2011-06-22 00:00:00+01:00,.N225,3.63E-05
2011-06-23 00:00:00+01:00,.N225,5.32E-05
2011-06-24 00:00:00+01:00,.N225,4.25E-05
2011-06-27 00:00:00+01:00,.N225,2.49E-05
2011-06-28 00:00:00+01:00,.N225,3.55E-05
2011-06-29 00:00:00+01:00,.N225,2.09E-05
2011-06-30 00:00:00+01:00,.N225,3.69E-05
2011-07-01 00:00:00+01:00,.N225,2.50E-05
2011-07-04 00:00:00+01:00,.N225,3.29E-05
2011-07-05 00:00:00+01:00,.N225,3.35E-05
2011-07-06 00:00:00+01:00,.N225,3.13E-05
2011-07-07 00:00:00+01:00,.N225,3.05E-05
2011-07-08 00:00:00+01:00,.N225,4.23E-05
2011-07-11 00:00:00+01:00,.N225,2.05E-05
2011-07-12 00:00:00+01:00,.N225,2.82E-05
2011-07-13 00:00:00+01:00,.N225,7.09E-05
2011-07-14 00:00:00+01:00,.N225,5.58E-05
2011-07-15 00:00:00+01:00,.N225,3.01E-05
2011-07-19 00:00:00+01:00,.N225,2.39E-05
2011-07-20 00:00:00+01:00,.N225,2.40E-05
2011-07-21 00:00:00+01:00,.N225,1.99E-05
2011-07-22 00:00:00+01:00,.N225,2.47E-05
2011-07-25 00:00:00+01:00,.N225,2.08E-05
2011-07-26 00:00:00+01:00,.N225,4.47E-05
2011-07-27 00:00:00+01:00,.N225,2.09E-05
2011-07-28 00:00:00+01:00,.N225,2.52E-05
2011-07-29 00:00:00+01:00,.N225,7.20E-05
2011-08-01 00:00:00+01:00,.N225,3.77E-05
2011-08-02 00:00:00+01:00,.N225,5.07E-05
2011-08-03 00:00:00+01:00,.N225,3.67E-05
2011-08-04 00:00:00+01:00,.N225,0.000103793
2011-08-05 00:00:00+01:00,.N225,0.000320992
2011-08-08 00:00:00+01:00,.N225,9.77E-05
2011-08-09 00:00:00+01:00,.N225,0.000492575
2011-08-10 00:00:00+01:00,.N225,0.000164221
2011-08-11 00:00:00+01:00,.N225,0.000149072
2011-08-12 00:00:00+01:00,.N225,0.000105622
2011-08-15 00:00:00+01:00,.N225,6.55E-05
2011-08-16 00:00:00+01:00,.N225,5.62E-05
2011-08-17 00:00:00+01:00,.N225,2.82E-05
2011-08-18 00:00:00+01:00,.N225,5.63E-05
2011-08-19 00:00:00+01:00,.N225,6.51E-05
2011-08-22 00:00:00+01:00,.N225,9.01E-05
2011-08-23 00:00:00+01:00,.N225,0.000101289
2011-08-24 00:00:00+01:00,.N225,0.000159887
2011-08-25 00:00:00+01:00,.N225,9.81E-05
2011-08-26 00:00:00+01:00,.N225,6.52E-05
2011-08-29 00:00:00+01:00,.N225,0.000161377
2011-08-30 00:00:00+01:00,.N225,3.14E-05
2011-08-31 00:00:00+01:00,.N225,6.65E-05
2011-09-01 00:00:00+01:00,.N225,5.72E-05
2011-09-02 00:00:00+01:00,.N225,6.26E-05
2011-09-05 00:00:00+01:00,.N225,4.83E-05
2011-09-06 00:00:00+01:00,.N225,6.44E-05
2011-09-07 00:00:00+01:00,.N225,4.42E-05
2011-09-08 00:00:00+01:00,.N225,4.44E-05
2011-09-09 00:00:00+01:00,.N225,5.79E-05
2011-09-12 00:00:00+01:00,.N225,6.02E-05
2011-09-13 00:00:00+01:00,.N225,6.81E-05
2011-09-14 00:00:00+01:00,.N225,7.60E-05
2011-09-15 00:00:00+01:00,.N225,6.44E-05
2011-09-16 00:00:00+01:00,.N225,3.56E-05
2011-09-20 00:00:00+01:00,.N225,4.23E-05
2011-09-21 00:00:00+01:00,.N225,4.75E-05
2011-09-22 00:00:00+01:00,.N225,6.36E-05
2011-09-26 00:00:00+01:00,.N225,0.000127715
2011-09-27 00:00:00+01:00,.N225,6.21E-05
2011-09-28 00:00:00+01:00,.N225,6.45E-05
2011-09-29 00:00:00+01:00,.N225,9.70E-05
2011-09-30 00:00:00+01:00,.N225,0.000129559
2011-10-03 00:00:00+01:00,.N225,7.80E-05
2011-10-04 00:00:00+01:00,.N225,7.46E-05
2011-10-05 00:00:00+01:00,.N225,0.00014042
2011-10-06 00:00:00+01:00,.N225,6.96E-05
2011-10-07 00:00:00+01:00,.N225,6.12E-05
2011-10-11 00:00:00+01:00,.N225,5.52E-05
2011-10-12 00:00:00+01:00,.N225,5.78E-05
2011-10-13 00:00:00+01:00,.N225,2.82E-05
2011-10-14 00:00:00+01:00,.N225,2.64E-05
2011-10-17 00:00:00+01:00,.N225,3.39E-05
2011-10-18 00:00:00+01:00,.N225,4.14E-05
2011-10-19 00:00:00+01:00,.N225,4.59E-05
2011-10-20 00:00:00+01:00,.N225,3.52E-05
2011-10-21 00:00:00+01:00,.N225,2.40E-05
2011-10-24 00:00:00+01:00,.N225,2.91E-05
2011-10-25 00:00:00+01:00,.N225,3.01E-05
2011-10-26 00:00:00+01:00,.N225,6.55E-05
2011-10-27 00:00:00+01:00,.N225,0.000112802
2011-10-28 00:00:00+01:00,.N225,4.39E-05
2011-10-31 00:00:00+00:00,.N225,0.000165014
2011-11-01 00:00:00+00:00,.N225,6.74E-05
2011-11-02 00:00:00+00:00,.N225,6.07E-05
2011-11-04 00:00:00+00:00,.N225,4.19E-05
2011-11-07 00:00:00+00:00,.N225,1.89E-05
2011-11-08 00:00:00+00:00,.N225,4.27E-05
2011-11-09 00:00:00+00:00,.N225,6.76E-05
2011-11-10 00:00:00+00:00,.N225,9.63E-05
2011-11-11 00:00:00+00:00,.N225,0.000107659
2011-11-14 00:00:00+00:00,.N225,3.60E-05
2011-11-15 00:00:00+00:00,.N225,2.66E-05
2011-11-16 00:00:00+00:00,.N225,5.15E-05
2011-11-17 00:00:00+00:00,.N225,6.05E-05
2011-11-18 00:00:00+00:00,.N225,3.74E-05
2011-11-21 00:00:00+00:00,.N225,2.43E-05
2011-11-22 00:00:00+00:00,.N225,6.90E-05
2011-11-24 00:00:00+00:00,.N225,3.48E-05
2011-11-25 00:00:00+00:00,.N225,5.95E-05
2011-11-28 00:00:00+00:00,.N225,4.54E-05
2011-11-29 00:00:00+00:00,.N225,5.08E-05
2011-11-30 00:00:00+00:00,.N225,4.07E-05
2011-12-01 00:00:00+00:00,.N225,7.29E-05
2011-12-02 00:00:00+00:00,.N225,5.09E-05
2011-12-05 00:00:00+00:00,.N225,1.73E-05
2011-12-06 00:00:00+00:00,.N225,2.68E-05
2011-12-07 00:00:00+00:00,.N225,4.29E-05
2011-12-08 00:00:00+00:00,.N225,2.98E-05
2011-12-09 00:00:00+00:00,.N225,6.07E-05
2011-12-12 00:00:00+00:00,.N225,3.42E-05
2011-12-13 00:00:00+00:00,.N225,3.88E-05
2011-12-14 00:00:00+00:00,.N225,4.53E-05
2011-12-15 00:00:00+00:00,.N225,4.76E-05
2011-12-16 00:00:00+00:00,.N225,4.82E-05
2011-12-19 00:00:00+00:00,.N225,5.25E-05
