date,Symbol,rv5
2011-03-07 00:00:00+00:00,.NSEI,0.000121338
2011-03-08 00:00:00+00:00,.NSEI,8.93E-05
2011-03-09 00:00:00+00:00,.NSEI,6.60E-05
2011-03-10 00:00:00+00:00,.NSEI,8.21E-05
2011-03-11 00:00:00+00:00,.NSEI,7.75E-05
2011-03-14 00:00:00+00:00,.NSEI,7.47E-05
2011-03-15 00:00:00+00:00,.NSEI,0.000121277
2011-03-16 00:00:00+00:00,.NSEI,6.75E-05
2011-03-17 00:00:00+00:00,.NSEI,0.000121686
2011-03-18 00:00:00+00:00,.NSEI,9.58E-05
2011-03-21 00:00:00+00:00,.NSEI,8.52E-05
2011-03-22 00:00:00+00:00,.NSEI,3.73E-05
2011-03-23 00:00:00+00:00,.NSEI,4.89E-05
2011-03-24 00:00:00+00:00,.NSEI,4.20E-05
2011-03-25 00:00:00+00:00,.NSEI,4.75E-05
2011-03-28 00:00:00+01:00,.NSEI,0.000119932
2011-03-29 00:00:00+01:00,.NSEI,6.27E-05
2011-03-30 00:00:00+01:00,.NSEI,4.59E-05
2011-03-31 00:00:00+01:00,.NSEI,0.00016487
2011-04-01 00:00:00+01:00,.NSEI,7.09E-05
2011-04-04 00:00:00+01:00,.NSEI,5.77E-05
2011-04-05 00:00:00+01:00,.NSEI,5.93E-05
2011-04-06 00:00:00+01:00,.NSEI,7.02E-05
2011-04-07 00:00:00+01:00,.NSEI,4.40E-05
2011-04-08 00:00:00+01:00,.NSEI,7.15E-05
2011-04-11 00:00:00+01:00,.NSEI,4.79E-05
2011-04-13 00:00:00+01:00,.NSEI,7.23E-05
2011-04-15 00:00:00+01:00,.NSEI,0.000119667
2011-04-18 00:00:00+01:00,.NSEI,0.000198455
2011-04-19 00:00:00+01:00,.NSEI,0.00010057
2011-04-20 00:00:00+01:00,.NSEI,8.68E-05
2011-04-21 00:00:00+01:00,.NSEI,4.93E-05
2011-04-25 00:00:00+01:00,.NSEI,4.19E-05
2011-04-26 00:00:00+01:00,.NSEI,9.52E-05
2011-04-27 00:00:00+01:00,.NSEI,5.51E-05
2011-04-28 00:00:00+01:00,.NSEI,8.00E-05
2011-04-29 00:00:00+01:00,.NSEI,0.000103524
2011-05-02 00:00:00+01:00,.NSEI,0.000104274
2011-05-03 00:00:00+01:00,.NSEI,0.000155542
2011-05-04 00:00:00+01:00,.NSEI,0.000183213
2011-05-05 00:00:00+01:00,.NSEI,0.000136554
2011-05-06 00:00:00+01:00,.NSEI,0.000140886
2011-05-09 00:00:00+01:00,.NSEI,8.94E-05
2011-05-10 00:00:00+01:00,.NSEI,7.70E-05
2011-05-11 00:00:00+01:00,.NSEI,4.17E-05
2011-05-12 00:00:00+01:00,.NSEI,7.69E-05
2011-05-13 00:00:00+01:00,.NSEI,0.000144428
2011-05-16 00:00:00+01:00,.NSEI,6.77E-05
2011-05-17 00:00:00+01:00,.NSEI,9.60E-05
2011-05-18 00:00:00+01:00,.NSEI,9.36E-05
2011-05-19 00:00:00+01:00,.NSEI,4.66E-05
2011-05-20 00:00:00+01:00,.NSEI,8.32E-05
2011-05-23 00:00:00+01:00,.NSEI,7.26E-05
2011-05-24 00:00:00+01:00,.NSEI,7.63E-05
2011-05-25 00:00:00+01:00,.NSEI,5.81E-05
2011-05-26 00:00:00+01:00,.NSEI,9.93E-05
2011-05-27 00:00:00+01:00,.NSEI,6.16E-05
2011-05-30 00:00:00+01:00,.NSEI,4.01E-05
2011-05-31 00:00:00+01:00,.NSEI,4.19E-05
2011-06-01 00:00:00+01:00,.NSEI,4.27E-05
2011-06-02 00:00:00+01:00,.NSEI,2.90E-05
2011-06-03 00:00:00+01:00,.NSEI,6.50E-05
2011-06-06 00:00:00+01:00,.NSEI,4.39E-05
2011-06-07 00:00:00+01:00,.NSEI,3.32E-05
2011-06-08 00:00:00+01:00,.NSEI,3.86E-05
2011-06-09 00:00:00+01:00,.NSEI,5.22E-05
2011-06-10 00:00:00+01:00,.NSEI,5.16E-05
2011-06-13 00:00:00+01:00,.NSEI,5.00E-05
2011-06-14 00:00:00+01:00,.NSEI,4.04E-05
2011-06-15 00:00:00+01:00,.NSEI,2.55E-05
2011-06-16 00:00:00+01:00,.NSEI,7.15E-05
2011-06-17 00:00:00+01:00,.NSEI,3.93E-05
2011-06-20 00:00:00+01:00,.NSEI,0.000290199
2011-06-21 00:00:00+01:00,.NSEI,8.03E-05
2011-06-22 00:00:00+01:00,.NSEI,5.66E-05
2011-06-23 00:00:00+01:00,.NSEI,5.41E-05
2011-06-24 00:00:00+01:00,.NSEI,7.75E-05
2011-06-27 00:00:00+01:00,.NSEI,0.00014165
2011-06-28 00:00:00+01:00,.NSEI,7.17E-05
2011-06-29 00:00:00+01:00,.NSEI,4.31E-05
2011-06-30 00:00:00+01:00,.NSEI,5.76E-05
2011-07-01 00:00:00+01:00,.NSEI,8.61E-05
2011-07-04 00:00:00+01:00,.NSEI,2.67E-05
2011-07-05 00:00:00+01:00,.NSEI,4.70E-05
2011-07-06 00:00:00+01:00,.NSEI,3.58E-05
2011-07-07 00:00:00+01:00,.NSEI,4.64E-05
2011-07-08 00:00:00+01:00,.NSEI,5.94E-05
2011-07-11 00:00:00+01:00,.NSEI,4.13E-05
2011-07-12 00:00:00+01:00,.NSEI,8.31E-05
2011-07-13 00:00:00+01:00,.NSEI,4.32E-05
2011-07-14 00:00:00+01:00,.NSEI,7.74E-05
2011-07-15 00:00:00+01:00,.NSEI,6.92E-05
2011-07-18 00:00:00+01:00,.NSEI,5.11E-05
2011-07-19 00:00:00+01:00,.NSEI,7.01E-05
2011-07-20 00:00:00+01:00,.NSEI,7.29E-05
2011-07-21 00:00:00+01:00,.NSEI,4.89E-05
2011-07-22 00:00:00+01:00,.NSEI,5.54E-05
2011-07-25 00:00:00+01:00,.NSEI,4.89E-05
2011-07-26 00:00:00+01:00,.NSEI,0.000142089
2011-07-27 00:00:00+01:00,.NSEI,5.98E-05
2011-07-28 00:00:00+01:00,.NSEI,5.96E-05
2011-07-29 00:00:00+01:00,.NSEI,0.000107619
2011-08-01 00:00:00+01:00,.NSEI,5.57E-05
2011-08-02 00:00:00+01:00,.NSEI,4.97E-05
2011-08-03 00:00:00+01:00,.NSEI,5.46E-05
2011-08-04 00:00:00+01:00,.NSEI,7.88E-05
2011-08-05 00:00:00+01:00,.NSEI,0.000181001
2011-08-08 00:00:00+01:00,.NSEI,0.000180168
2011-08-09 00:00:00+01:00,.NSEI,0.000417772
2011-08-10 00:00:00+01:00,.NSEI,0.000135841
2011-08-11 00:00:00+01:00,.NSEI,0.000129084
2011-08-12 00:00:00+01:00,.NSEI,0.000149523
2011-08-16 00:00:00+01:00,.NSEI,0.000110925
2011-08-17 00:00:00+01:00,.NSEI,0.000191019
2011-08-18 00:00:00+01:00,.NSEI,0.000132314
2011-08-19 00:00:00+01:00,.NSEI,0.000204318
2011-08-22 00:00:00+01:00,.NSEI,0.000205912
2011-08-23 00:00:00+01:00,.NSEI,0.000134301
2011-08-24 00:00:00+01:00,.NSEI,0.000126233
2011-08-25 00:00:00+01:00,.NSEI,0.000189603
2011-08-26 00:00:00+01:00,.NSEI,0.000192594
2011-08-29 00:00:00+01:00,.NSEI,8.73E-05
2011-08-30 00:00:00+01:00,.NSEI,0.000112038
2011-09-02 00:00:00+01:00,.NSEI,0.000396144
2011-09-05 00:00:00+01:00,.NSEI,9.51E-05
2011-09-06 00:00:00+01:00,.NSEI,0.000122164
2011-09-07 00:00:00+01:00,.NSEI,9.02E-05
2011-09-08 00:00:00+01:00,.NSEI,0.000117394
2011-09-09 00:00:00+01:00,.NSEI,0.00011462
2011-09-12 00:00:00+01:00,.NSEI,9.53E-05
2011-09-13 00:00:00+01:00,.NSEI,0.000150002
2011-09-14 00:00:00+01:00,.NSEI,0.000168796
2011-09-15 00:00:00+01:00,.NSEI,0.000165975
2011-09-16 00:00:00+01:00,.NSEI,0.00015386
2011-09-19 00:00:00+01:00,.NSEI,6.82E-05
2011-09-20 00:00:00+01:00,.NSEI,7.74E-05
2011-09-21 00:00:00+01:00,.NSEI,6.91E-05
2011-09-22 00:00:00+01:00,.NSEI,0.00011404
2011-09-23 00:00:00+01:00,.NSEI,0.000359972
2011-09-26 00:00:00+01:00,.NSEI,0.00032367
2011-09-27 00:00:00+01:00,.NSEI,6.72E-05
2011-09-28 00:00:00+01:00,.NSEI,0.000174715
2011-09-29 00:00:00+01:00,.NSEI,0.000120698
2011-09-30 00:00:00+01:00,.NSEI,0.000183325
2011-10-03 00:00:00+01:00,.NSEI,0.000111926
2011-10-04 00:00:00+01:00,.NSEI,0.000227004
2011-10-05 00:00:00+01:00,.NSEI,0.000189768
2011-10-07 00:00:00+01:00,.NSEI,0.000107389
